方案或实验,保留的相关模块,情景数,期望利润/元,利润标准差/元,P10利润/元,P50利润/元,P90利润/元,下尾CVaR90/元,累计亏损概率,平均滞销率
问题二独立情景,问题二独立情景,5000,40691211.02445183,205053.98325875742,40429296.687070034,40688707.38247955,40953432.38674039,40332829.5387589,0.0,0.10698010851079139
仅全局因子,仅全局因子,5000,40700841.40787905,349475.826093024,40264609.31580708,40696472.74133021,41153866.789370134,40095885.0888263,0.0,0.106957448504565
仅作物组因子,仅作物组因子,5000,40689743.71850853,223373.42492646194,40399200.46488122,40690979.20190303,40980077.45864491,40301084.39172792,0.0,0.10702500224206438
完整分层因子,完整分层因子,5000,40699537.48147573,362629.3929324556,40239151.541716,40698255.210073754,41168063.76892955,40076136.96346626,0.0,0.10700158627845385
