实验模块,风险权重,PuLP状态,整数解状态,HiGHS状态,目标函数值/元,最终相对间隙,求解耗时/秒,变量总数,约束总数,二进制变量数,支持集策略,MIP启动点
完整分层因子风险权重,0.0,Optimal,Solution Found,Time limit reached,40685895.65781624,0.029617169908936404,61.35145580000244,31485,47635,7490,独立完整MILP；未固定其他候选的作物支持集,λ=0.2第一阶段方案（HighsStatus.kOk）
完整分层因子风险权重,0.2,Optimal,Solution Found,Time limit reached,40531329.643461764,0.029990970989844698,66.77596920001088,31485,47635,7490,独立完整MILP；未固定其他候选的作物支持集,λ=0.0第一阶段方案（HighsStatus.kOk）
完整分层因子风险权重,0.4,Optimal,Solution Found,Time limit reached,40379305.44860681,0.030585164490385855,62.97199619997991,31485,47635,7490,独立完整MILP；未固定其他候选的作物支持集,λ=0.0第一阶段方案（HighsStatus.kOk）
完整分层因子风险权重,0.6,Optimal,Solution Found,Time limit reached,40229337.336468644,0.03141238416864459,86.00678469997365,31485,47635,7490,独立完整MILP；未固定其他候选的作物支持集,λ=0.0第一阶段方案（HighsStatus.kOk）
完整分层因子风险权重,0.8,Optimal,Solution Found,Time limit reached,40082455.807774894,0.03229436331481441,84.92171749999397,31485,47635,7490,独立完整MILP；未固定其他候选的作物支持集,λ=0.0第一阶段方案（HighsStatus.kOk）
