风险权重λ,求解状态,MIP相对间隙,求解耗时/秒,验证集_情景数,验证集_期望利润/元,验证集_利润标准差/元,验证集_P10利润/元,验证集_P50利润/元,验证集_P90利润/元,验证集_下尾CVaR90/元,验证集_累计亏损概率,验证集_平均滞销率,是否入选,选择规则,训练集_期望利润/元,训练集_下尾CVaR90/元,训练集_CVaR加权目标/元,求解器目标函数值/元,目标重算差异/元,测试集_情景数,测试集_期望利润/元,测试集_利润标准差/元,测试集_P10利润/元,测试集_P50利润/元,测试集_P90利润/元,测试集_下尾CVaR90/元,测试集_累计亏损概率,测试集_平均滞销率
0.0,达到时间上限，已有整数可行解,0.029617169908936404,61.35145580000244,2000,40693157.75069621,352842.924832212,40222751.48539591,40690718.77473403,41151088.79712262,40073655.043937296,0.0,0.10555961628130671,否,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,40685895.657816365,39907069.89520458,40685895.657816365,40685895.65781624,1.2665987014770508e-07,5000,40704513.43812402,363354.06942734035,40247689.36022146,40703037.99399244,41175750.12364881,40079792.173460156,0.0,0.10551380910014463
0.2,达到时间上限，已有整数可行解,0.029990970989844698,66.77596920001088,2000,40691555.807249755,352295.97773179883,40222455.07654328,40687947.21877559,41145711.763073854,40073106.78883007,0.0,0.1057626466087946,否,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,40684495.166658364,39918667.55067499,40531329.64346169,40531329.643461764,-7.450580596923828e-08,5000,40702947.22786393,363004.5907192919,40244256.953791656,40702017.3839963,41172473.66866199,40078757.63107882,0.0,0.10571415002016413
0.4,达到时间上限，已有整数可行解,0.030585164490385855,62.97199619997991,2000,40688071.10292626,351722.90291007486,40217396.51702365,40684456.87705036,41142616.851527624,40070798.95682014,0.0,0.10705572903817032,是,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,40681446.987092786,39926093.140877634,40379305.44860673,40379305.44860681,-8.195638656616211e-08,5000,40699537.48147573,362629.3929324556,40239151.541716,40698255.210073754,41168063.76892955,40076136.96346626,0.0,0.10700158627845385
0.6,达到时间上限，已有整数可行解,0.03141238416864459,86.00678469997365,2000,40682252.25386493,351614.803111436,40211989.57463274,40677763.27233994,41136542.4311736,40065207.87575125,0.0,0.10716782630640921,否,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,40675241.54597143,39932067.863466784,40229337.336468644,40229337.336468644,0.0,5000,40693750.54000789,362542.4030640821,40235160.02232413,40691596.51453562,41158301.19079736,40070714.77203904,0.0,0.107111349488439
0.8,达到时间上限，已有整数可行解,0.03229436331481441,84.92171749999397,2000,40672823.45913102,350805.3920843777,40203515.24605214,40667797.460163414,41124655.92500765,40057836.099647865,0.0,0.1073239612412784,否,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,40664406.54686238,39936968.12300298,40082455.80777486,40082455.807774894,-3.725290298461914e-08,5000,40683985.78700589,361953.99395168584,40226594.274471365,40682927.29422514,41147083.61162077,40062241.73314457,0.0,0.10727413151207017
