方案或实验,相关强度κ,情景数,期望利润/元,利润标准差/元,P10利润/元,P50利润/元,P90利润/元,下尾CVaR90/元,累计亏损概率,平均滞销率
问题二既有方案,0.0,5000,36381063.46366253,190549.7058906099,36136496.380645424,36382096.88913208,36627126.82758385,36049188.941628054,0.0,0.2749303793352831
问题三基准方案,0.0,5000,40691211.02445183,205053.98325875742,40429296.687070034,40688707.38247955,40953432.38674039,40332829.5387589,0.0,0.10698010851079139
问题二既有方案,0.5,5000,36386426.42167071,261606.56787858278,36051736.23558771,36384781.72109908,36723958.410161406,35935476.032390915,0.0,0.27495706046678153
问题三基准方案,0.5,5000,40697545.424889624,293391.2716354063,40328688.58181339,40697551.42628163,41075717.457734615,40189300.999427736,0.0,0.10699513055646483
问题二既有方案,1.0,5000,36388493.87237973,318693.9667314628,35982661.50795839,36387183.828997225,36799052.91237487,35840080.00695485,0.0,0.274963525787229
问题三基准方案,1.0,5000,40699537.48147573,362629.3929324556,40239151.541716,40698255.210073754,41168063.76892955,40076136.96346626,0.0,0.10700158627845385
问题二既有方案,1.5,5000,36389965.4794046,367890.4850958884,35920446.3298167,36390919.24270186,36867187.22798381,35755531.74085387,0.0,0.27496915648825426
问题三基准方案,1.5,5000,40700843.28787875,421792.5414938471,40163660.398431346,40699981.83470854,41242494.680769436,39977119.2458459,0.0,0.10700840277451652
