风险权重λ,求解状态,MIP相对间隙,求解耗时/秒,验证集_情景数,验证集_期望利润/元,验证集_利润标准差/元,验证集_P10利润/元,验证集_P50利润/元,验证集_P90利润/元,验证集_下尾CVaR90/元,验证集_累计亏损概率,验证集_平均滞销率,是否入选,选择规则,训练集_期望利润/元,训练集_下尾CVaR90/元,训练集_CVaR加权目标/元,求解器目标函数值/元,目标重算差异/元,完整200训练池_期望利润/元,完整200训练池_下尾CVaR90/元,测试集_情景数,测试集_期望利润/元,测试集_利润标准差/元,测试集_P10利润/元,测试集_P50利润/元,测试集_P90利润/元,测试集_下尾CVaR90/元,测试集_累计亏损概率,测试集_平均滞销率
0.0,达到时间上限，已有整数可行解,0.15197336380810447,76.0086683999998,2000,36382881.114612885,190402.77505814392,36143459.863423675,36381852.70505662,36623496.09947828,36055581.6205661,0.0,0.2749325523031538,否,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,36402422.82953637,36127181.58981214,36402422.82953637,36402422.82953645,-8.195638656616211e-08,36379670.4124229,36061734.45979391,5000,36382767.36794485,190969.26293287508,36138696.58394421,36383860.25207091,36629156.96325734,36050244.6220287,0.0,0.27490488750256376
0.2,达到时间上限，已有整数可行解,0.1517922602699764,78.87381590000041,2000,36381232.03354166,189988.58215411482,36142586.23845444,36379013.55520901,36620236.63572847,36054258.42706452,0.0,0.2749585602796605,是,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,36401428.00989369,36134404.5111165,36348023.310138255,36348023.310138345,-8.940696716308594e-08,36378319.40211651,36060746.14867841,5000,36381063.463662535,190549.70589060988,36136496.380645424,36382096.88913208,36627126.82758385,36049188.941628054,0.0,0.2749303793352831
0.4,达到时间上限，已有整数可行解,0.1518417269864063,77.1933196000009,2000,36378202.7772341,189823.04364495026,36139747.499497555,36376077.845973626,36614774.09914025,36051359.11030263,0.0,0.27496466551691195,否,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,36398946.94712701,36140167.47577815,36295435.15858746,36295435.15858751,-4.470348358154297e-08,36375278.65453568,36057469.49668114,5000,36377955.55057716,190224.55357283377,36132787.30850132,36379463.10914018,36623663.04587648,36046637.02946408,0.0,0.27494012533593903
0.6,达到时间上限，已有整数可行解,0.15209028378147285,76.29971260000093,2000,36373680.98867769,189647.9110917389,36134023.81459968,36372621.58202332,36611701.81970001,36046713.69480905,0.0,0.2749997118265986,否,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,36394475.07312187,36144285.55834369,36244361.36425497,36244361.364255,-3.725290298461914e-08,36370850.69841694,36053361.23650179,5000,36373173.82481981,189881.00987625113,36128935.381103106,36374533.00434792,36618580.44611757,36042550.760175794,0.0,0.274980273240327
0.8,达到时间上限，已有整数可行解,0.15252621623293688,90.92267100000026,2000,36369673.10621547,189529.16786690045,36128998.451117046,36368186.15583797,36607234.506240346,36042911.973367974,0.0,0.2749984871411758,否,验证集期望利润不低于最高值的97%；CVaR在0.01%容差内并列时优先中等风险权重0.4,36390945.20849227,36145708.12794523,36194755.54405464,36194755.54405467,-2.9802322387695312e-08,36367022.747232564,36050770.39852981,5000,36369050.56184641,189612.86565193723,36125658.99714763,36370340.60537742,36614734.26545182,36039046.39215244,0.0,0.27498349625324847
