原训练情景编号,代表情景编号,代表情景原编号,到代表情景标准化距离,代表情景概率
70,22,72,44.11860687445331,0.025
71,23,71,0.0,0.025
72,22,72,0.0,0.025
73,31,52,43.0284642047909,0.025
74,9,74,0.0,0.025
75,25,75,0.0,0.025
76,17,76,0.0,0.025
77,21,69,46.1427538574598,0.025
78,22,72,45.292512975598996,0.025
79,26,140,43.833980276178714,0.025
80,25,75,45.899892724698205,0.025
81,36,81,0.0,0.025
82,13,19,44.56204443007242,0.025
83,30,122,43.89067667608689,0.025
84,11,88,45.48979593780886,0.025
85,33,85,0.0,0.025
86,39,188,45.78736968090938,0.025
87,3,150,42.67856522624794,0.025
88,11,88,0.0,0.025
89,13,19,44.48122934426101,0.025
90,23,71,43.796427747825646,0.025
91,15,64,44.8831787292765,0.025
92,10,134,43.35566802046299,0.025
93,7,167,44.2253446199771,0.025
94,7,167,42.51301394212545,0.025
95,18,133,44.25631759883674,0.025
96,37,137,44.642098745545916,0.025
97,15,64,45.20488505903554,0.025
98,19,98,0.0,0.025
99,20,158,44.368364075084024,0.025
100,40,100,0.0,0.025
101,11,88,44.55367556927552,0.025
102,21,69,44.349698085793655,0.025
103,37,137,43.82705862356515,0.025
104,1,162,43.83139153806798,0.025
105,16,185,42.662278521374894,0.025
106,14,106,0.0,0.025
107,5,177,46.455575930481494,0.025
108,6,200,43.27595068119054,0.025
109,8,60,44.8126630565945,0.025
110,11,88,43.780467867200535,0.025
111,2,112,43.1900466604823,0.025
112,2,112,0.0,0.025
113,24,115,42.34776543219647,0.025
114,32,45,44.79144932514812,0.025
115,24,115,0.0,0.025
116,28,25,43.457210230103094,0.025
117,13,19,44.774493088170786,0.025
118,31,52,45.386492035482405,0.025
119,39,188,43.933064899449604,0.025
120,14,106,44.147051155132054,0.025
121,3,150,42.82346129687242,0.025
122,30,122,0.0,0.025
123,29,183,46.85118107227566,0.025
124,8,60,45.846671510630195,0.025
125,4,68,46.0833994298134,0.025
126,15,64,43.692942822459585,0.025
127,4,68,44.41613563047044,0.025
128,30,122,43.38307673476915,0.025
129,39,188,47.1211646693806,0.025
130,10,134,46.198255054951595,0.025
131,28,25,45.10011892513076,0.025
132,20,158,42.814790547012635,0.025
133,18,133,0.0,0.025
134,10,134,0.0,0.025
135,14,106,42.4706204042406,0.025
136,19,98,44.12678141394938,0.025
137,37,137,0.0,0.025
138,1,162,44.13751397032714,0.025
139,14,106,44.74737000892952,0.025
140,26,140,0.0,0.025
141,35,54,44.62488255382175,0.025
142,27,142,0.0,0.025
143,29,183,45.64755918007823,0.025
144,8,60,45.77682345946153,0.025
145,25,75,42.3341967375987,0.025
146,16,185,45.021519925474166,0.025
147,1,162,43.663506435235675,0.025
148,38,66,45.22250215611966,0.025
149,12,198,45.48089388695749,0.025
150,3,150,0.0,0.025
151,16,185,42.35430209492436,0.025
152,1,162,45.18951834564241,0.025
153,34,153,0.0,0.025
154,25,75,44.92921689319627,0.025
155,32,45,45.70526682555661,0.025
156,16,185,44.304723726343774,0.025
157,24,115,43.35990417622829,0.025
158,20,158,0.0,0.025
159,36,81,46.400714029230656,0.025
160,7,167,42.28943298301009,0.025
161,18,133,44.71865494223816,0.025
162,1,162,0.0,0.025
163,17,76,43.46954441778943,0.025
164,7,167,45.08687907890246,0.025
165,23,71,43.82561618335257,0.025
166,2,112,44.45194069181609,0.025
167,7,167,0.0,0.025
168,11,88,45.383990751571005,0.025
169,24,115,45.49494933923815,0.025
170,38,66,45.12376154290129,0.025
171,19,98,44.9577474739428,0.025
172,23,71,43.393607362891885,0.025
173,36,81,44.016662152465315,0.025
174,31,52,44.81467619424981,0.025
175,18,133,44.03662161783501,0.025
176,12,198,44.89791978448588,0.025
177,5,177,0.0,0.025
178,18,133,43.43646804381889,0.025
179,3,150,45.67630776611341,0.025
180,17,76,45.3010763992889,0.025
181,8,60,46.3427633461851,0.025
182,13,19,46.02527946023255,0.025
183,29,183,0.0,0.025
184,36,81,46.45118711057501,0.025
185,16,185,0.0,0.025
186,32,45,43.644469514015746,0.025
187,9,74,44.881681329249396,0.025
188,39,188,0.0,0.025
189,26,140,44.051620901591264,0.025
190,19,98,43.820890765514434,0.025
191,34,153,45.78436084502243,0.025
192,38,66,45.47738018860587,0.025
193,40,100,46.03988216222505,0.025
194,22,72,46.0438142286592,0.025
195,40,100,45.08204755946028,0.025
196,40,100,45.30315021064914,0.025
197,38,66,45.88358144727889,0.025
198,12,198,0.0,0.025
199,5,177,42.885143686825465,0.025
200,6,200,0.0,0.025
