风险权重λ,训练集_期望利润/元,训练集_下尾CVaR90/元,训练集_CVaR加权目标/元,求解器目标函数值/元,目标重算差异/元,完整200训练池_期望利润/元,完整200训练池_下尾CVaR90/元
0.0,36402422.82953637,36127181.58981214,36402422.82953637,36402422.82953645,-8.195638656616211e-08,36379670.4124229,36061734.45979391
0.2,36401428.00989369,36134404.5111165,36348023.310138255,36348023.310138345,-8.940696716308594e-08,36378319.40211651,36060746.14867841
0.4,36398946.94712701,36140167.47577815,36295435.15858746,36295435.15858751,-4.470348358154297e-08,36375278.65453568,36057469.49668114
0.6,36394475.07312187,36144285.55834369,36244361.36425497,36244361.364255,-3.725290298461914e-08,36370850.69841694,36053361.23650179
0.8,36390945.20849227,36145708.12794523,36194755.54405464,36194755.54405467,-2.9802322387695312e-08,36367022.747232564,36050770.39852981
